Time,Signal,Price
2025-01-21T15:40:00.000Z,LONG,103788.2
2025-01-21T21:40:00.000Z,LONG,106469.7
2025-01-21T23:45:00.000Z,LONG,105881.5
2025-01-22T02:10:00.000Z,LONG,105847.2
2025-01-22T03:15:00.000Z,LONG,105889.6
2025-01-23T20:15:00.000Z,LONG,104641.3
2025-01-23T20:45:00.000Z,LONG,103837.1
2025-01-23T21:55:00.000Z,LONG,103025.2
2025-01-24T14:25:00.000Z,LONG,105221.4
2025-01-24T14:35:00.000Z,LONG,105349.1
2025-01-25T17:30:00.000Z,LONG,104693
2025-01-25T17:45:00.000Z,LONG,104770.3
2025-01-26T03:00:00.000Z,LONG,104734.8
2025-01-26T07:45:00.000Z,LONG,104988
2025-01-27T17:45:00.000Z,LONG,99580.8
2025-01-27T18:00:00.000Z,LONG,99376.7
2025-01-28T16:00:00.000Z,SHORT,102601.2
2025-01-28T18:40:00.000Z,SHORT,102499.2
2025-01-29T01:25:00.000Z,SHORT,101627.5
2025-01-29T02:25:00.000Z,SHORT,101809.9
2025-01-29T03:50:00.000Z,SHORT,101883.2
2025-01-29T04:00:00.000Z,SHORT,101957.7
2025-01-29T04:15:00.000Z,SHORT,101988
2025-01-29T04:40:00.000Z,SHORT,101972.1
2025-01-30T15:50:00.000Z,SHORT,105624.8
2025-01-30T20:30:00.000Z,SHORT,105429.9
2025-01-31T07:35:00.000Z,SHORT,104331.3
2025-01-31T12:00:00.000Z,SHORT,104566.7
2025-01-31T12:25:00.000Z,SHORT,104665.9
2025-01-31T13:30:00.000Z,SHORT,104624.4
2025-02-01T01:55:00.000Z,SHORT,102521.2
2025-02-01T06:15:00.000Z,SHORT,102346
2025-02-02T01:45:00.000Z,SHORT,101226
2025-02-02T06:55:00.000Z,SHORT,100227.7
2025-02-02T15:05:00.000Z,SHORT,99055
2025-02-02T16:10:00.000Z,SHORT,98949.1
2025-02-02T20:35:00.000Z,SHORT,97864
2025-02-03T06:55:00.000Z,SHORT,93872.7
2025-02-04T11:50:00.000Z,SHORT,99032.7
2025-02-04T12:45:00.000Z,SHORT,99226.9
2025-02-04T15:10:00.000Z,SHORT,99160
2025-02-04T16:40:00.000Z,SHORT,99259.2
2025-02-04T19:50:00.000Z,SHORT,98963.7
2025-02-05T01:25:00.000Z,SHORT,98180.5
2025-02-05T04:25:00.000Z,SHORT,97880.9
2025-02-05T04:55:00.000Z,SHORT,98000
2025-02-05T20:40:00.000Z,SHORT,96858.2
2025-02-06T02:35:00.000Z,SHORT,97140.5
2025-02-06T21:25:00.000Z,SHORT,96489.1
