EntryTime(KST),Type,Leverage,EntryPrice,ExitTime(KST),ExitPrice,Result,ROI% on Capital,Final Balance
2026-01-26 01:10:00,SHORT,5x,87865.2,2026-01-26 03:30:00,87338.0088,WIN,3.00%,195943.47
2026-01-26 04:10:00,SHORT,5x,87243.3,2026-01-26 04:20:00,86719.8402,WIN,3.00%,201821.77
2026-01-26 04:55:00,SHORT,5x,86459.4,2026-01-28 05:20:00,89053.182,LOSS,-15.00%,171548.51
2026-01-29 09:00:00,SHORT,5x,89105,2026-01-29 10:25:00,88570.37,WIN,3.00%,176694.96
2026-01-29 10:50:00,SHORT,5x,88518.1,2026-01-29 11:45:00,87986.9914,WIN,3.00%,181995.81
2026-01-29 18:10:00,SHORT,5x,87961.2,2026-01-29 23:50:00,87433.4328,WIN,3.00%,187455.69
2026-01-30 00:00:00,SHORT,5x,86502,2026-01-30 00:10:00,85982.988,WIN,3.00%,193079.36
2026-01-30 00:35:00,SHORT,5x,85060.1,2026-01-30 00:40:00,84549.7394,WIN,3.00%,198871.74
2026-01-30 02:55:00,SHORT,5x,84225,2026-01-30 03:25:00,83719.65,WIN,3.00%,204837.89
2026-01-30 10:00:00,SHORT,5x,84048.1,2026-01-30 10:20:00,83543.8114,WIN,3.00%,210983.03
2026-01-30 11:10:00,SHORT,5x,81874.4,2026-01-30 11:20:00,81383.15359999999,WIN,3.00%,217312.52
2026-01-31 21:35:00,SHORT,5x,82868.1,2026-01-31 23:10:00,82370.89140000001,WIN,3.00%,223831.89
2026-02-02 06:00:00,SHORT,5x,76832.3,2026-02-02 06:55:00,76371.3062,WIN,3.00%,230546.85
2026-02-05 11:00:00,SHORT,5x,72161.1,2026-02-05 11:15:00,71728.1334,WIN,3.00%,237463.26
2026-02-05 11:45:00,SHORT,5x,71866.6,2026-02-05 11:55:00,71435.4004,WIN,3.00%,244587.15
2026-02-05 12:20:00,SHORT,5x,71564.8,2026-02-05 12:50:00,71135.4112,WIN,3.00%,251924.77
2026-02-05 13:00:00,SHORT,5x,71050,2026-02-05 14:05:00,70623.7,WIN,3.00%,259482.51
2026-02-05 14:20:00,SHORT,5x,70274.3,2026-02-05 21:10:00,69852.6542,WIN,3.00%,267266.99
2026-02-05 21:45:00,SHORT,5x,69439.5,2026-02-06 00:00:00,69022.863,WIN,3.00%,275285.00
2026-02-06 00:30:00,SHORT,5x,66933.6,2026-02-06 02:20:00,66531.99840000001,WIN,3.00%,283543.55
2026-02-06 04:50:00,SHORT,5x,65291.9,2026-02-06 05:15:00,64900.1486,WIN,3.00%,292049.85
2026-02-06 06:15:00,SHORT,5x,62924,2026-02-06 08:05:00,64811.72,LOSS,-15.00%,248242.37
2026-02-15 16:15:00,LONG,5x,70753.1,2026-02-16 02:45:00,68630.507,LOSS,-15.00%,211006.02
2026-02-16 17:00:00,LONG,5x,68594.2,2026-02-16 18:35:00,69005.7652,WIN,3.00%,217336.20
2026-02-17 06:00:00,LONG,5x,68429.1,2026-02-17 06:55:00,68839.67460000001,WIN,3.00%,223856.28
2026-02-17 08:50:00,LONG,5x,68956.3,2026-02-17 23:45:00,66887.611,LOSS,-15.00%,190277.84
2026-02-21 10:35:00,LONG,5x,67962,2026-02-21 23:20:00,68369.772,WIN,3.00%,195986.18
2026-02-22 00:15:00,LONG,5x,68513.9,2026-02-23 10:00:00,66458.483,LOSS,-15.00%,166588.25
2026-02-28 09:10:00,LONG,5x,65969.4,2026-02-28 15:35:00,63990.31799999999,LOSS,-15.00%,141600.01
2026-02-28 22:10:00,LONG,5x,64040,2026-02-28 22:45:00,64424.24,WIN,3.00%,145848.01
2026-02-28 23:35:00,LONG,5x,65091.3,2026-03-01 02:55:00,65481.8478,WIN,3.00%,150223.45
2026-03-01 03:35:00,LONG,5x,65688,2026-03-01 03:55:00,66082.128,WIN,3.00%,154730.16
2026-03-01 04:30:00,LONG,5x,66252.1,2026-03-01 05:15:00,66649.61260000001,WIN,3.00%,159372.06
2026-03-02 12:15:00,LONG,5x,66591.1,2026-03-02 12:35:00,66990.64660000001,WIN,3.00%,164153.22
2026-03-02 12:45:00,LONG,5x,66859.5,2026-03-03 00:00:00,67260.657,WIN,3.00%,169077.82
2026-03-03 00:35:00,LONG,5x,69409.7,2026-03-03 01:40:00,69826.15819999999,WIN,3.00%,174150.16
2026-03-03 06:10:00,LONG,5x,69234.2,2026-03-03 17:45:00,67157.174,LOSS,-15.00%,148027.63
2026-03-04 03:25:00,LONG,5x,68428.4,2026-03-04 03:35:00,68838.97039999999,WIN,3.00%,152468.46
2026-03-04 10:05:00,LONG,5x,68202.8,2026-03-04 10:35:00,68612.0168,WIN,3.00%,157042.52
2026-03-04 15:30:00,LONG,5x,68468.1,2026-03-04 16:40:00,68878.90860000001,WIN,3.00%,161753.79
2026-03-04 17:35:00,LONG,5x,69499.9,2026-03-04 17:45:00,69916.8994,WIN,3.00%,166606.40
2026-03-04 18:15:00,LONG,5x,71159.6,2026-03-04 18:35:00,71586.5576,WIN,3.00%,171604.60
2026-03-04 23:05:00,LONG,5x,71525.7,2026-03-04 23:15:00,71954.8542,WIN,3.00%,176752.73
2026-03-04 23:30:00,LONG,5x,72397.9,2026-03-05 00:25:00,72832.2874,WIN,3.00%,182055.32
2026-03-05 00:45:00,LONG,5x,72804.8,2026-03-05 00:55:00,73241.6288,WIN,3.00%,187516.98
2026-03-05 02:10:00,LONG,5x,73492.1,2026-03-05 04:10:00,73933.05260000001,WIN,3.00%,193142.49
2026-03-10 10:50:00,LONG,5x,69219.9,2026-03-10 11:30:00,69635.2194,WIN,3.00%,198936.76
2026-03-10 12:20:00,LONG,5x,70164.4,2026-03-10 17:05:00,70585.38639999999,WIN,3.00%,204904.86
2026-03-10 17:35:00,LONG,5x,70909.9,2026-03-10 23:55:00,71335.3594,WIN,3.00%,211052.01
2026-03-11 01:20:00,LONG,5x,71480.1,2026-03-11 14:40:00,69335.697,LOSS,-15.00%,179394.21
2026-03-11 23:25:00,LONG,5x,70612.9,2026-03-12 02:20:00,71036.5774,WIN,3.00%,184776.03
2026-03-12 04:40:00,LONG,5x,70637,2026-03-13 09:10:00,71060.822,WIN,3.00%,190319.31
2026-03-13 10:00:00,LONG,5x,71498.8,2026-03-13 17:35:00,71927.79280000001,WIN,3.00%,196028.89
2026-03-13 18:45:00,LONG,5x,71944.9,2026-03-13 19:15:00,72376.5694,WIN,3.00%,201909.76
2026-03-13 19:40:00,LONG,5x,72457.2,2026-03-13 22:15:00,72891.9432,WIN,3.00%,207967.05
2026-03-13 22:45:00,LONG,5x,73284.3,2026-03-13 23:20:00,73724.0058,WIN,3.00%,214206.06
2026-03-15 03:30:00,LONG,5x,70634.4,2026-03-15 08:05:00,71058.2064,WIN,3.00%,220632.25
2026-03-15 13:10:00,LONG,5x,71551.6,2026-03-16 06:35:00,71980.9096,WIN,3.00%,227251.21
2026-03-16 07:00:00,LONG,5x,72192.3,2026-03-16 07:50:00,72625.4538,WIN,3.00%,234068.75
2026-03-16 12:15:00,LONG,5x,72567.7,2026-03-16 12:30:00,73003.1062,WIN,3.00%,241090.81
2026-03-16 13:15:00,LONG,5x,73778,2026-03-16 13:50:00,74220.668,WIN,3.00%,248323.54
2026-03-16 21:20:00,LONG,5x,73726.8,2026-03-16 22:30:00,74169.1608,WIN,3.00%,255773.24
2026-03-17 07:05:00,LONG,5x,74839.6,2026-03-17 09:10:00,75288.6376,WIN,3.00%,263446.44
2026-03-17 09:55:00,LONG,5x,75283.9,2026-03-17 10:10:00,75735.60339999999,WIN,3.00%,271349.83
2026-03-18 04:10:00,LONG,5x,74695.5,2026-03-18 21:30:00,72454.635,LOSS,-15.00%,230647.36
2026-03-22 09:00:00,SHORT,5x,68408,2026-03-23 06:05:00,67997.552,WIN,3.00%,237566.78
2026-03-23 10:00:00,SHORT,5x,67660.1,2026-03-23 20:05:00,69689.903,LOSS,-15.00%,201931.76
